Prediction for all sporting events,2021-05-10 10:46:44.7059358
Prediction for all sporting events,2021-05-10 10:50:40.0705541
Football game description,2021-05-10 10:50:41.4446238
Prediction for all sporting events,2021-05-10 10:50:42.5135471
Football game description,2021-05-10 10:50:43.4485127
Renew number of days for a tour,2021-05-10 10:51:00.2003989
Prediction for all sporting events,2021-05-10 10:51:05.9669114
Add an event,2021-05-12 10:52:22.1158688
Renew number of days for a tour,2021-05-12 10:59:14.8510226
Capacity distribution for a concert,2021-05-12 12:18:04.7040388
Add an event,2021-05-12 12:18:06.9055704
Remove an event,2021-05-12 12:18:49.4498196
Remove an event,2021-05-12 12:18:56.1615946
Add an event,2021-05-12 12:31:34.1427451
Remove an event,2021-05-12 12:32:17.8715924
Add an event,2021-05-12 12:37:49.3889929
Remove an event,2021-05-12 12:38:39.186042
Add an event,2021-05-12 12:40:40.7854217
Add an event,2021-05-12 12:43:01.506815
Add an event,2021-05-12 12:43:29.1432029
Add an event,2021-05-12 12:43:48.3594367
Remove an event,2021-05-12 12:49:24.8887361
Remove an event,2021-05-12 12:49:29.5275506
Remove an event,2021-05-12 12:49:39.8896988
Remove an event,2021-05-12 12:49:49.2874359
Add an event,2021-05-12 12:49:55.4318598
Add an event,2021-05-12 12:50:41.5524235
Remove an event,2021-05-12 12:51:05.641969
Remove an event,2021-05-12 12:51:08.6095975
Remove an event,2021-05-12 12:51:11.9531587
Add a client to an event,2021-05-23 17:02:33.841821
Football game description,2021-05-23 17:21:27.7907361
Remove an event,2021-05-23 17:21:32.7260477
Renew number of days for a tour,2021-05-23 17:21:45.5298649
Renew number of days for a tour,2021-05-23 17:21:58.2015055
Add a client to an event,2021-05-23 17:22:04.0280866
